codigopostal,nombre,id,provincia_id
5285,LAS TOTORITAS,19951,4
5281,LOS ALGARROBITOS,19952,4
5875,ACHIRAS,19953,4
4000,ESTACION DE ZOOTECNIA B,19954,15
5875,ALTO DE LAS MULAS,19955,4
5281,LOS CHA,19956,4
4168,ESTANCIA LA PRINCESA,19957,15
5885,ALTO RESBALOSO,19958,4
5270,LOS ESLABONES,19959,4
4168,FINCA TINTA,19960,15
4168,FINCA LOS LLANOS,19961,15
5873,ARBOLES BLANCOS,19962,4
5875,BANDA DE VARELA,19963,4
5870,BARRIO LA FERIA,19964,4
5885,BOCA DEL RIO,19965,4
5873,CA,19966,4
5873,CAPILLA DE ROMERO,19967,4
5871,CARTABEROL,19968,4
5870,CHAQUINCHUNA,19969,4
5875,CHUCHIRAS,19970,4
5875,COLONIA MONTES NEGROS,19971,4
5875,COME TIERRA,19972,4
5873,CONLARA,19973,4
5879,CORRALITO SAN JAVIER,19974,4
5885,DIQUE LA VI,19975,4
5885,EL ALTO,19976,4
5870,EL BALDECITO,19977,4
4168,KILOMETRO 1231,19978,15
5875,EL CERRO,19979,4
5281,LOS HORMIGUEROS,19980,4
5873,EL MANANTIAL,19981,4
5875,EL PUEBLITO,19982,4
5281,LOS MISTOLES,19983,4
5875,GUANACO BOLEADO,19984,4
5284,LOS PANTALLES,19985,4
5885,HORNILLOS,19986,4
5201,LOS PIQUILLINES,19987,4
5875,HUASTA,19988,4
5282,LOS SAUCES,19989,4
5870,LA CA,19990,4
5879,LA FUENTE,19991,4
5270,LOS VALDES,19992,4
5875,LA POBLACION,19993,4
5875,LA SIENA,19994,4
5287,MAJADA DE SANTIAGO,19995,4
5875,LA TRAVESIA,19996,4
5284,MANDALA,19997,4
5870,LA VENTANA,19998,4
5870,LAS CA,19999,4
5281,MEDIA NARANJA,20000,4
5871,LAS ENCRUCIJADAS,20001,4
5870,LAS PALOMAS,20002,4
5285,MESA DE MARIANO,20003,4
5280,NEGRO HUASI,20004,4
5879,LAS TRES PIEDRAS,20005,4
5879,LOMA BOLA,20006,4
5875,LOMITAS,20007,4
5873,LOS CHA,20008,4
5873,LOS CHA,20009,4
5873,LOS MANGUITOS,20010,4
5885,LOS MOLLES,20011,4
5870,LOS POZOS,20012,4
5873,MANGUITAS,20013,4
5870,NICHO,20014,4
5873,POZO DEL MOLLE,20015,4
5885,QUEBRADA DE LOS POZOS,20016,4
5875,RIO DE JAIME,20017,4
5875,RIO HONDO,20018,4
5875,RODEO DE PIEDRA,20019,4
5875,SAGRADA FAMILIA,20020,4
5873,SALTO,20021,4
4124,LOS PUESTOS,20022,15
5870,SAN ANTONIO,20023,4
4124,MIMILLO,20024,15
4124,MOLLE YACO,20025,15
5875,SAN ISIDRO,20026,4
5875,SAN JAVIER,20027,4
4122,,20028,15
4124,PANTANILLO,20029,15
4124,PORTEZUELO,20030,15
4122,POSTA VIEJA,20031,15
4168,POTRERO GRANDE,20032,15
4122,POTRO YACO,20033,15
5871,CHANCANI,20034,4
4124,POZO SUNCHO,20035,15
4124,PRADERA ALEGRE,20036,15
4124,PUESTO VARELA,20037,15
4124,REARTE,20038,15
4122,RODEO,20039,15
5871,SAN MIGUEL SAN VICENTE,20040,4
5871,SAN NICOLAS,20041,4
4124,SAN CARLOS,20042,15
4124,SANTA RITA,20043,15
4124,TACANAS,20044,15
4124,TACO LLANO,20045,15
5870,SAN ROQUE,20046,4
4124,TACO PUNCO,20047,15
4124,TACO YACO,20048,15
4124,TIPA MAYO,20049,15
5870,TABANILLO,20050,4
4105,TIPAS,20051,15
4124,TRANCAS,20052,15
4122,VESUBIO,20053,15
5873,TILQUICHO,20054,4
4124,VILLA GLORIA,20055,15
4124,VILLA RITA,20056,15
4124,VILLA VIEJA,20057,15
5873,ZAPATA,20058,4
5870,CORRAL DE CABALLOS,20059,4
5875,DIEZ RIOS,20060,4
5873,POZO DEL CHA,20061,4
5280,NUEVA ESPERANZA,20062,4
5287,ORO GRUESO,20063,4
5280,PALO CORTADO,20064,4
5281,PALO LABRADO,20065,4
5281,PALO PARADO,20066,4
5284,PALO QUEMADO,20067,4
5284,PALOMA POZO,20068,4
5284,PASO DE MONTOYA,20069,4
5284,PICHANAS,20070,4
5284,PIEDRAS AMONTONADAS,20071,4
5284,PIEDRAS ANCHAS,20072,4
5281,POZO DEL SIMBOL,20073,4
5281,PUESTO DEL GALLO,20074,4
5270,QUILMES,20075,4
4124,YARAMI,20076,15
5284,RAMBLON,20077,4
4124,YUCHACO,20078,15
5285,REPRESA DE MORALES,20079,4
5280,RIO DE LA POBLACION,20080,4
5284,RIO SECO,20081,4
5281,SAN ANTONIO,20082,4
5281,SAN ISIDRO,20083,4
